"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000130420",29.25,-8.31403748115154,1.12875437874232,-7.36567462127167,1.76253243436604e-13,1.83387858331692e-10
"Gm3411",26.375,-8.16477253049769,1.11017210262704,-7.35451063053838,1.91627856145969e-13,1.83387858331692e-10
"Gpc5",27.25,-8.21185751033294,1.1148322305288,-7.36600296031786,1.75819919223256e-13,1.83387858331692e-10
"Hao1",28.75,-8.28916293906307,1.12428200511039,-7.37285031814524,1.67017978201823e-13,1.83387858331692e-10
"Myocd",27.625,-8.23157563798653,1.11873129082615,-7.35795602168932,1.8674754440266e-13,1.83387858331692e-10
"Yipf7",27.125,-8.20522447708515,1.11241336022464,-7.37605711192481,1.63046094547204e-13,1.83387858331692e-10
"Grm5",25.625,-8.12315342004076,1.11368008922669,-7.29397382481827,3.00943929682261e-13,2.76003201509844e-10
"Thsd7b",25.375,-8.10900926013447,1.11345157042983,-7.28276781450328,3.27039827285407e-13,2.87938945535163e-10
"Rorb",27.875,-8.24457258899624,1.13644097176786,-7.25473015652621,4.02463378147518e-13,3.4071620832327e-10
"Mgat4c",23.625,-8.00591588108247,1.11417295673331,-7.18552342587396,6.69501940906047e-13,5.18438557318068e-10
"Riiad1",23.125,-7.97505503518869,1.11030123252349,-7.18278499706157,6.83054752724727e-13,5.18438557318068e-10
"Tmem132d",26.125,-8.15103197845061,1.13465608738184,-7.18370268233318,6.7848328316468e-13,5.18438557318068e-10
"Gm12781",23.75,-8.01352891368538,1.12105208382811,-7.14822177246326,8.79092092874035e-13,6.24183743750013e-10
"Vwc2",26.375,-8.16477187048294,1.14182552901641,-7.15062998943122,8.6380539109083e-13,6.24183743750013e-10
"1700105P06Rik",23,-7.96723538998023,1.11765061974658,-7.12855632092501,1.0142709652875e-12,6.7651873384676e-10
"Gm45027",22.25,-7.91940706729854,1.1106697543139,-7.13029866577277,1.00151371583761e-12,6.7651873384676e-10
"Plppr1",24.25,-8.04358590020432,1.1311282804219,-7.11111731483197,1.15107241791094e-12,7.45183970312872e-10
"9530051G07Rik",22.375,-7.927489252096,1.11809680037813,-7.0901636150063,1.33953535801367e-12,8.42414650435394e-10
"9030622O22Rik",22.25,-7.91940692435976,1.11768685569121,-7.08553284315236,1.38510314580559e-12,8.46875148397966e-10
"D130043K22Rik",22.875,-7.95937314559577,1.12428770413704,-7.07948073816664,1.44695609089869e-12,8.60782446399216e-10
"Agbl4",21.625,-7.87830184931974,1.11391852237882,-7.07260153327488,1.52055649517805e-12,8.8076234250958e-10
"Rtn4rl2",21.875,-7.89488452801144,1.12298129832015,-7.03029029942107,2.06104267738352e-12,1.13414025929722e-09
"Smim17",23,-7.96723507955873,1.13273188576335,-7.03364598427423,2.01205247143168e-12,1.13414025929722e-09
"5033421B08Rik",20.25,-7.78352383219103,1.10947249005602,-7.01551764640692,2.29099148273313e-12,1.22992715918144e-09
"Cnih3",24.375,-8.05100298244796,1.14904186150308,-7.00670989646651,2.43987425977182e-12,1.25771326530774e-09
"Gm28800",22.25,-7.9194066528641,1.13093828637159,-7.00250999395564,2.51416944589254e-12,1.25771326530774e-09
"Tnfrsf26",21.375,-7.86152598238696,1.12254389856942,-7.00331273672748,2.49979968145276e-12,1.25771326530774e-09
"Gm35161",22.875,-7.95937284007563,1.13923641734779,-6.98658568043808,2.81656424237347e-12,1.37767545641961e-09
"Kcnmb2",19.5,-7.72907594192562,1.11819242026799,-6.9121161991719,4.77476477923798e-12,2.28472494686537e-09
"Gm30340",55.589056730064,1.89959327962988,0.274964291231914,6.90850899627435,4.89773935868366e-12,2.29370512816992e-09
"ENSMUSG00000129238",18.75,-7.67249258206412,1.11329967158275,-6.89166877338273,5.51416481809103e-12,2.33999913927538e-09
"ENSMUSG00000141379",18.75,-7.67249258206412,1.11329967158276,-6.89166877338273,5.51416481809106e-12,2.33999913927538e-09
"Epha6",18.625,-7.66284245304638,1.11183574952253,-6.89206337926907,5.49888621605628e-12,2.33999913927538e-09
"Gm14858",20,-7.76560159720894,1.12686892205769,-6.89130869190073,5.5281429849766e-12,2.33999913927538e-09
"Gm49496",19.125,-7.70106162482948,1.11700262875294,-6.89439883720523,5.40930633354301e-12,2.33999913927538e-09
"Gm13067",18.875,-7.68207852789141,1.11788115861685,-6.87199928961715,6.33082701341035e-12,2.62920440362595e-09
"BC006965",64.3411654540557,1.52113159964565,0.22158513246018,6.86477284264099,6.65971398595095e-12,2.71457341749567e-09
"4921504A21Rik",20.75,-7.81871260448868,1.13991899643948,-6.85900720043293,6.9340744509049e-12,2.75030699138107e-09
"Gm29724",20,-7.76560148653881,1.13238979315245,-6.8577105988568,6.99728279121077e-12,2.75030699138107e-09
"Kel",18.5,-7.65312719141577,1.11784608293285,-6.84631570326439,7.57761559298929e-12,2.92615608451381e-09
"A930001C03Rik",21.375,-7.86152543335875,1.1491483736932,-6.8411752679882,7.85460848719557e-12,2.98082392089072e-09
"Gm57034",19.125,-7.70106143700306,1.12641055958598,-6.83681573425025,8.09727821844824e-12,3.020833743496e-09
"Ctcflos",17.625,-7.58322539770391,1.11115466973905,-6.82463531335811,8.81489537934282e-12,3.18073216712647e-09
"Gm38353",17.625,-7.58322540452423,1.11080606479025,-6.82677709898544,8.68434675507862e-12,3.18073216712647e-09
"Gm47920",20.625,-7.80999521026072,1.1487169796863,-6.79888549431341,1.05431570793312e-11,3.7429908140832e-09
"5830418P13Rik",16.25,-7.46604211461435,1.10543894288974,-6.75391631770928,1.43906771763534e-11,5.02782849728118e-09
"Gm43064",16.125,-7.45490158456308,1.10471998624747,-6.74822731313662,1.49662350796442e-11,5.14721563028201e-09
"Lingo2",18.125,-7.62358270943549,1.13021110655184,-6.74527321952645,1.52739329144127e-11,5.17222365198673e-09
"Krbox5",19.25,-7.7104597901153,1.14356733332848,-6.74246243784625,1.55724509592359e-11,5.19341239490516e-09
"Gm48893",17.5,-7.57295677485007,1.12647052257518,-6.72272964368193,1.78351327910882e-11,5.85924041589018e-09
"Agrp",17.75,-7.59342075083967,1.13161619457738,-6.71024397426159,1.9429927473998e-11,6.28929608279663e-09
"ENSMUSG00000128528",17.375,-7.5626147494936,1.13135788686523,-6.6845468063586,2.31640358850124e-11,7.38932744731897e-09
"A230077H06Rik",15.25,-7.37441178443801,1.10375209656178,-6.6812210888745,2.36959416771417e-11,7.40713695887626e-09
